category,title,country,total,male,female,native-total,native-male,native-female,foreign-total,foreign-male,foreign-female,note,source
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Argentina,,,,0.5,,,0.6,,,Note: Two sentences to be added later.,"OECD/ILO (2018), How Immigrants Contribute to Developing Countries' Economies, OECD Publishing, Paris."
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Costa Rica,,,,11.3,,,14.3,,,Note: Two sentences to be added later.,
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Côte d'Ivoire,,,,48,,,48,,,Note: Two sentences to be added later.,
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Dominican Republic,,,,13.1,,,35.9,,,Note: Two sentences to be added later.,
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Ghana,42.2,46,38.2,42,46.2,38.3,34.4,34.1,35,Note: Two sentences to be added later.,
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Kyrgyzstan,,,,46,,,31,,,Note: Two sentences to be added later.,
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Nepal,64.2,53.9,76.9,64.6,54.5,77.2,42.5,18.8,61.9,Note: Two sentences to be added later.,
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Rwanda,76,66,85.3,77.5,67.6,86.5,36.7,29.8,45.9,Note: Two sentences to be added later.,
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",South Africa,5.2,6,4.2,5.1,5.9,4.1,6.1,6.4,5.5,Note: Two sentences to be added later.,
Sector: agriculture,"Share of employment in agriculture, by origin and sex (%, most recent period)",Thailand,46.1,46.3,46.1,47.4,47.6,47.2,24.8,25.7,23.7,Note: Two sentences to be added later.,
Sector: industry,"Share of employment in industry, by origin and sex (%, most recent period)",Argentina,,,,23.7,,,33.4,,,Note: Two sentences to be added later.,
Sector: industry,"Share of employment in industry, by origin and sex (%, most recent period)",Costa Rica,,,,12.2,,,9.6,,,Note: Two sentences to be added later.,
Sector: industry,"Share of employment in industry, by origin and sex (%, most recent period)",Côte d'Ivoire,,,,8,,,10,,,Note: Two sentences to be added later.,
Sector: industry,"Share of employment in industry, by origin and sex (%, most recent period)",Dominican Republic,,,,11.4,,,6.2,,,Note: Two sentences to be added later.,
Sector: industry,"Share of employment in industry, by origin and sex (%, most recent period)",Ghana,15.3,17.2,13.3,15.2,17.3,13.3,15.1,15.8,14.1,Note: Two sentences to be added later.,
Sector: industry,"Share of employment in industry, by origin and sex (%, most recent period)",Kyrgyzstan,,,,15,,,18,,,Note: Two sentences to be added later.,
